customer_id,system,tcode_or_api,payload_ref,result,timestamp
CUST0001,S4HANA,XD01,PAY-188586,success,2025-09-29T01:00:00
CUST0002,ECC,XD01,PAY-714028,failed,2025-10-01T08:00:00
CUST0003,ECC,XD01,PAY-654895,failed,2025-10-02T03:00:00
CUST0004,S4HANA,XD01,PAY-994694,pending,2025-10-01T22:00:00
CUST0005,S4HANA,/API_BUSINESS_PARTNER,PAY-886998,failed,2025-10-02T23:00:00
CUST0006,S4HANA,XD01,PAY-262793,failed,2025-10-01T04:00:00
CUST0007,ECC,XD01,PAY-789484,success,2025-09-30T21:00:00
CUST0008,S4HANA,XD01,PAY-850773,pending,2025-09-29T10:00:00
CUST0009,S4HANA,/API_BUSINESS_PARTNER,PAY-922126,failed,2025-10-02T04:00:00
CUST0010,ECC,/API_BUSINESS_PARTNER,PAY-725537,success,2025-10-02T04:00:00
CUST0011,ECC,XD01,PAY-508437,failed,2025-10-01T09:00:00
CUST0012,S4HANA,/API_BUSINESS_PARTNER,PAY-901438,failed,2025-10-01T00:00:00
CUST0013,S4HANA,XD01,PAY-441977,success,2025-09-29T22:00:00
CUST0014,ECC,XD01,PAY-855684,success,2025-10-02T03:00:00
CUST0015,S4HANA,/API_BUSINESS_PARTNER,PAY-618196,success,2025-10-02T01:00:00
CUST0016,S4HANA,XD01,PAY-256723,pending,2025-09-29T16:00:00
CUST0017,S4HANA,/API_BUSINESS_PARTNER,PAY-397980,pending,2025-10-02T16:00:00
CUST0018,S4HANA,XD01,PAY-859332,pending,2025-10-01T01:00:00
CUST0019,S4HANA,/API_BUSINESS_PARTNER,PAY-748761,success,2025-10-01T17:00:00
CUST0020,ECC,/API_BUSINESS_PARTNER,PAY-774464,pending,2025-09-29T09:00:00
CUST0021,ECC,XD01,PAY-251783,pending,2025-09-29T22:00:00
CUST0022,S4HANA,XD01,PAY-145915,failed,2025-09-29T03:00:00
CUST0023,ECC,/API_BUSINESS_PARTNER,PAY-964925,failed,2025-09-30T23:00:00
CUST0024,ECC,/API_BUSINESS_PARTNER,PAY-975864,success,2025-10-01T22:00:00
